tier,start,end,duration,comment,subject
Caregiverlinguistic,71.420,72.112,0.6919999999999931,"platitos
",310
Caregiverlinguistic,78.109,78.529,0.4200000000000017,"tacita
",310
Caregiverlinguistic,79.709,80.143,0.4339999999999975,"te
",310
Caregiverlinguistic,81.279,81.819,0.5400000000000063,"leche
",310
Caregiverlinguistic,83.790,84.260,0.46999999999999886,"leche
",310
Caregiverlinguistic,85.156,85.587,0.4309999999999974,"leche
",310
Caregiverlinguistic,88.043,88.410,0.3669999999999902,"leche
",310
Caregiverlinguistic,101.799,102.444,0.644999999999996,"tenedor
",310
Caregiverlinguistic,104.837,105.418,0.5810000000000031,"platito
",310
Caregiverlinguistic,105.825,106.633,0.8079999999999927,"brocoli
",310
Caregiverlinguistic,139.340,140.587,1.2469999999999857,"fresa
",310
Caregiverlinguistic,143.576,144.402,0.8259999999999934,"fresa
",310
Caregiverlinguistic,151.589,152.403,0.813999999999993,"cazuela
",310
Caregiverlinguistic,159.608,160.682,1.0739999999999839,"cazuelita
",310
Caregiverlinguistic,249.669,250.503,0.8339999999999748,"galletas
",310
Caregiverlinguistic,252.103,252.963,0.8599999999999852,"galletas
",310
Caregiverlinguistic,252.103,252.963,0.8599999999999852,"galletas
",310
Caregiverlinguistic,284.152,284.846,0.6940000000000168,"platano
",310
Caregiverlinguistic,285.487,286.349,0.8619999999999663,"platano
",310
Caregiverlinguistic,307.960,309.160,1.2000000000000455,"platano
",310
Caregiverlinguistic,315.533,316.160,0.6270000000000095,"fresa
",310
Caregiverlinguistic,352.106,353.186,1.079999999999984,"te de fresa
",310
Caregiverlinguistic,395.669,397.142,1.4730000000000132,"naranja
",310
Caregiverlinguistic,402.508,402.940,0.43200000000001637,"cuchillo 
",310
Caregiverlinguistic,404.065,404.663,0.5980000000000132,"cuchillo 
",310
