tier,start,end,duration,comment,subject
Caregiverlinguistic,9.420,10.520,1.0999999999999996,"naranja
",190
Caregiverlinguistic,11.920,12.820,0.9000000000000004,"apple
",190
Caregiverlinguistic,11.920,12.820,0.9000000000000004,"apple
",190
Caregiverlinguistic,13.579,14.180,0.6009999999999991,"apple
",190
Childlinguistic,14.620,15.340,0.7200000000000006,"apple
",190
Caregiverlinguistic,15.360,16.560,1.1999999999999993,"apple
",190
Caregiverlinguistic,18.861,19.961,1.0999999999999979,"elote
",190
Caregiverlinguistic,20.359,21.039,0.6799999999999997,"elote
",190
Caregiverlinguistic,22.935,23.895,0.9600000000000009,"elote
",190
Caregiverlinguistic,25.678,26.912,1.2339999999999982,"elote
",190
Caregiverlinguistic,34.063,35.049,0.9859999999999971,"vaca
",190
Caregiverlinguistic,38.543,39.343,0.8000000000000043,"vaca
",190
Caregiverlinguistic,49.571,50.198,0.6270000000000024,"te
",190
Caregiverlinguistic,51.659,52.359,0.7000000000000028,"te
",190
Caregiverlinguistic,53.241,53.646,0.40500000000000114,"taza
",190
Caregiverlinguistic,53.947,54.521,0.5739999999999981,"te
",190
Caregiverlinguistic,55.994,56.454,0.46000000000000085,"te
",190
Caregiverlinguistic,57.453,58.313,0.8599999999999994,"te
",190
Caregiverlinguistic,61.586,62.646,1.0600000000000023,"cuchara
",190
Caregiverlinguistic,68.768,69.207,0.43899999999999295,"cuchara
",190
Caregiverlinguistic,71.658,72.039,0.3810000000000002,"huevito
",190
Caregiverlinguistic,78.076,78.716,0.6400000000000006,"cookie
",190
Caregiverlinguistic,82.510,83.083,0.5729999999999933,"cookie
",190
Caregiverlinguistic,91.662,92.662,1.0,"plato
",190
Caregiverlinguistic,109.297,110.137,0.8400000000000034,"pan
",190
Caregiverlinguistic,111.237,111.844,0.6069999999999993,"pan
",190
Caregiverlinguistic,113.503,114.470,0.9669999999999987,"pan
",190
Caregiverlinguistic,124.805,125.685,0.8799999999999955,"pan
",190
Caregiverlinguistic,130.559,131.018,0.4590000000000032,"fresa
",190
Caregiverlinguistic,133.460,134.280,0.8199999999999932,"fresa
",190
Caregiverlinguistic,138.828,140.348,1.5200000000000102,"brocoli
",190
Caregiverlinguistic,140.932,141.652,0.7199999999999989,"brocoli
",190
Caregiverlinguistic,146.611,147.651,1.0400000000000205,"platano
",190
Caregiverlinguistic,164.893,165.546,0.6529999999999916,"cazuela
",190
Caregiverlinguistic,197.565,197.939,0.3739999999999952,"cazuela
",190
Caregiverlinguistic,224.320,225.100,0.7800000000000011,"aguacate
",190
Caregiverlinguistic,253.572,254.560,0.9879999999999995,"aguacate
",190
Caregiverlinguistic,255.874,257.322,1.4480000000000075,"aguacate
",190
Caregiverlinguistic,255.874,257.322,1.4480000000000075,"aguacate
",190
Caregiverlinguistic,290.595,291.815,1.2199999999999704,"galleta
",190
Caregiverlinguistic,290.595,291.815,1.2199999999999704,"galleta
",190
Caregiverlinguistic,303.324,304.144,0.8199999999999932,"te
",190
Caregiverlinguistic,306.274,307.094,0.8199999999999932,"te
",190
Caregiverlinguistic,310.037,310.664,0.6270000000000095,"te
",190
Caregiverlinguistic,317.924,318.724,0.8000000000000114,"te
",190
Caregiverlinguistic,320.144,320.550,0.4060000000000059,"te
",190
Caregiverlinguistic,336.700,337.320,0.6200000000000045,"banana
",190
Caregiverlinguistic,338.999,339.736,0.7369999999999663,"platano
",190
