tier,start,end,duration,comment,relavence,classification,subject,
Caregiver linguistic,262.24,263.7,1.45999999999998,jitomate,0,normal,444,
Caregiver linguistic,270.61,271.39,0.779999999999973,tomate,0,normal,444,
Caregiver linguistic,291.42,292.78,1.35999999999996,cebolla ,1,normal,444,
Caregiver linguistic,294.64,296.28,1.63999999999999,cebolla ,1,normal,444,
Caregiver linguistic,301.152,301.94,0.788000000000011,cebolla ,1,normal,444,
Caregiver linguistic,315.18,316.24,1.06,cucharita ,1,normal,444,
Caregiver linguistic,334.24,335.18,0.939999999999998,naranja ,1,normal,444,
Child linguistic,23.38,24.199,0.819000000000003,cinco,0,normal,417,
Caregiver linguistic,25.434,25.814,0.379999999999999,dos,0,normal,417,
Caregiver linguistic,27.615,27.835,0.220000000000002,dos,0,normal,417,
Child linguistic,28.749,28.969,0.220000000000002,dos,0,normal,417,
Caregiver linguistic,30.813,31.443,0.630000000000003,galleta,0,normal,417,
Child linguistic,35.569,36.429,0.859999999999999,arbol ,1,normal,417,
Caregiver linguistic,36.68,37.31,0.630000000000003,arbol ,1,normal,417,
Caregiver linguistic,37.898,38.641,0.742999999999995,arbolito ,1,normal,417,
Caregiver linguistic,40.218,40.663,0.444999999999993,brocoli ,1,normal,417,
Caregiver linguistic,42.216,42.956,0.740000000000002,arbolito ,1,normal,417,
Caregiver linguistic,43.178,43.748,0.57,brocoli ,1,normal,417,
Caregiver linguistic,45.54,46.26,0.719999999999999,arbolito ,1,normal,417,
Caregiver linguistic,58.879,59.719,0.840000000000003,girafa,0,normal,417,
Child linguistic,60.942,63.312,2.37,girafa,0,normal,417,
Caregiver linguistic,65.746,66.262,0.516000000000005,girafas,0,normal,417,
Child linguistic,67.036,68.656,1.62,girafas,0,normal,417,
Caregiver linguistic,69.454,70.148,0.694000000000003,girafa,0,normal,417,
Caregiver linguistic,77.609,78.079,0.469999999999999,taza,0,normal,417,
Caregiver linguistic,101.372,101.932,0.560000000000002,vaca,0,normal,417,
Caregiver linguistic,104.653,105.063,0.409999999999997,vaca,0,normal,417,
Caregiver linguistic,110.157,110.727,0.570000000000007,leche,0,normal,417,
Caregiver linguistic,111.086,112.376,1.29000000000001,leche de la vaca,0,normal,417,
Child linguistic,114.704,115.904,1.2,leche,0,normal,417,
Caregiver linguistic,116.764,117.254,0.490000000000009,leche,0,normal,417,
Caregiver linguistic,118.304,118.724,0.420000000000002,taza,0,normal,417,
Caregiver linguistic,120.28,121.1,0.819999999999993,girafa,0,normal,417,
